amfi_code,scheme_name,fund_house,sub_category,plan,expense_ratio_pct,cagr_3yr_pct,sharpe_ratio,alpha_pct,beta,max_drawdown_pct,rank_3yr_return,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,fund_score,overall_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,1.46,33.991970400445304,1.0682238272314732,26.98375144191807,0.023683558075848623,-11.265729075028275,97.5,100.0,85.0,42.50000000000001,82.5,85.88,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,1.36,31.769242852237323,0.883255618469884,29.26358334175106,0.000549004250631712,-18.188513572116292,90.0,92.5,95.0,62.5,40.0,82.5,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,1.45,29.57511058901836,0.9655606517440118,27.330465038306055,-0.02282956979242654,-12.97396816518679,85.0,97.5,90.0,44.99999999999999,70.0,81.62,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,1.38,32.43397122906222,0.8082678003905592,27.19535450128533,0.0051035258305283104,-16.217208574644847,92.5,85.0,87.5,57.49999999999999,52.5,80.38,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,0.8,32.478927222623,0.7146822636441238,21.19482701352573,0.016232169761417007,-12.588275606922517,95.0,75.0,70.0,70.0,72.5,79.0,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,1.38,35.10252788903541,0.7305467735561727,26.07666908004223,-0.06626542862803757,-20.960883862039193,100.0,80.0,80.0,57.49999999999999,32.5,77.88,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,1.54,30.448613060027817,0.8609773262277756,23.201007160635083,-0.03175144113890972,-15.012385498645331,87.5,90.0,77.5,23.750000000000004,60.0,73.81,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,1.6,29.17135767741186,0.919046535635828,28.27036785246582,0.018133884083859245,-16.39674294693263,82.5,95.0,92.5,8.750000000000002,50.0,73.31,8
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,1.43,26.66309129954312,0.7116901743847245,30.336965386983323,-0.023196062044059693,-28.706005721764548,72.5,70.0,100.0,47.5,12.5,67.62,9
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,1.6,28.960211096593724,0.717408995989017,21.399784776051213,0.02108631625012803,-11.291596329323072,80.0,77.5,72.5,8.750000000000002,80.0,67.19,10
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,1.52,26.99350260734621,0.7144216579881013,30.05787817097677,0.011455159960520708,-31.171900300634213,77.5,72.5,97.5,33.75,10.0,66.94,11
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,1.61,26.863103668817146,0.8328852279505966,26.598577542043046,-0.002523004664699247,-17.24810575345138,75.0,87.5,82.5,5.000000000000004,47.5,66.38,12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,1.51,22.646647456747715,0.7588510310771438,21.829397904608644,-0.008353832126962021,-17.41407508665723,67.5,82.5,75.0,38.74999999999999,45.0,66.19,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,0.66,16.263375081360643,0.6482414723266905,19.86859936686296,-0.026159307513513405,-11.803493502764296,45.0,67.5,65.0,90.0,75.0,64.38,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,0.92,18.429918008610045,0.5062729716095954,17.729754927531765,0.04882040425957739,-15.200013055606398,55.00000000000001,57.49999999999999,62.5,65.0,57.49999999999999,58.88,15
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,0.72,21.084691029380597,0.3888288460001742,15.643835948169668,-0.03663900671860934,-18.62974313859551,65.0,50.0,47.5,86.25,37.5,58.19,16
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,0.89,20.00321571698329,0.3931881969124055,15.136354648239239,-0.001433521389780133,-11.650624505409091,60.0,52.5,45.0,67.5,77.5,58.0,17
